model,task,ep,method,n,steps,span,demo,wrist,ref,exec,dup,paid
HAMLET,VideoPlaceButton,300,act_L13,512,127,32-1008,0.69921875,0.345703125,16/16,7/7,0.958984375,
HAMLET,VideoPlaceButton,300,tail_L13,512,131,40-984,0.734375,0.78125,16/16,7/7,0.93359375,
HAMLET,VideoPlaceButton,300,tail_L15,512,130,48-976,0.73046875,0.623046875,16/16,7/7,0.923828125,
HAMLET,VideoPlaceButton,300,act∪tail_L15,512,127,40-1000,0.720703125,0.369140625,15/16,7/7,0.93359375,256/256
HAMLET,VideoPlaceButton,300,nov∪act (deployed),512,111,0-1016,0.759765625,0.419921875,16/16,7/7,0.74609375,256/256
HAMLET,VideoPlaceButton,300,nov∪tail_L15,512,122,0-968,0.787109375,0.595703125,16/16,7/7,0.734375,256/256
HAMLET,VideoPlaceButton,300,nov∪act∪tail_L15,512,126,0-1000,0.759765625,0.369140625,15/16,7/7,0.767578125,171/171/170
HAMLET,VideoPlaceButton,300,nov∪act∪tail_L13,512,129,0-1008,0.76171875,0.501953125,16/16,7/7,0.7734375,171/171/170
HAMLET,VideoPlaceButton,300,f0front∪act∪tail_L15,512,127,0-984,0.763671875,0.28125,15/16,7/7,0.802734375,81/216/215
HAMLET,VideoPlaceButton,300,f0both∪act∪tail_L15,512,125,0-968,0.802734375,0.369140625,15/16,7/7,0.68359375,161/176/175
HAMLET,RouteStick,1112,nov,512,25,0-184,0.572265625,0.75,2/2,3/3,0.716796875,
HAMLET,RouteStick,1112,act_L13,512,25,8-184,0.5234375,0.4375,2/2,3/3,0.857421875,
HAMLET,RouteStick,1112,tail_L13,512,25,8-184,0.517578125,0.814453125,2/2,3/3,0.876953125,
HAMLET,RouteStick,1112,tail_L15,512,25,8-184,0.509765625,0.685546875,2/2,3/3,0.87890625,
HAMLET,RouteStick,1112,act∪tail_L15,512,25,8-184,0.51953125,0.65234375,2/2,3/3,0.87109375,256/256
HAMLET,RouteStick,1112,nov∪act (deployed),512,25,0-184,0.578125,0.630859375,2/2,3/3,0.720703125,256/256
HAMLET,RouteStick,1112,nov∪tail_L15,512,25,0-184,0.58984375,0.7109375,2/2,3/3,0.72265625,256/256
HAMLET,RouteStick,1112,nov∪act∪tail_L15,512,25,0-184,0.5859375,0.634765625,2/2,3/3,0.732421875,171/171/170
HAMLET,RouteStick,1112,nov∪act∪tail_L13,512,25,0-184,0.583984375,0.6171875,2/2,3/3,0.736328125,171/171/170
HAMLET,RouteStick,1112,f0front∪act∪tail_L15,512,25,0-184,0.587890625,0.576171875,2/2,3/3,0.75390625,79/217/216
HAMLET,RouteStick,1112,f0both∪act∪tail_L15,512,25,0-176,0.654296875,0.63671875,2/2,3/3,0.68359375,152/180/180
